,ISO3,FBS Code2,EnergyI-BaU_low,EnergyI-HalfW_low
1742,GMB,2907.0,1.8433037256052292e-13,1.3904751943109229e-13
1743,GMB,2913.0,1.1761430405514385e-14,1.0036688866941442e-14
1744,GMB,2918.0,6.712213993412535e-12,4.617825158718197e-12
1745,GMB,2919.0,1.6845887341608577e-12,1.1589523585415793e-12
1747,KEN,960.0,5.091304716635101e-09,4.405897076470224e-09
1748,KEN,976.0,2.0764848278520244e-08,1.7565159364568476e-08
1749,KEN,1016.0,2.4276711585285615e-08,2.053587399838183e-08
1750,KEN,1049.0,2.5867090964330406e-09,2.1881189257532664e-09
1751,KEN,1052.0,1.7435101080097015e-09,1.4748498274656704e-09
1752,KEN,1053.0,4.7579963910446705e-09,4.02482906418313e-09
1753,KEN,2511.0,5.7746356819378604e-11,5.197586298605132e-11
